size,bubble_sort,insertion_sort,selection_sort,merge_sort,quick_sort_array,quick_sort_in_place,
10,6e-07,4e-07,8e-07,6e-07,6e-06,4.8e-06,
10,6e-07,4e-07,6e-07,1e-06,5e-06,5e-06,
11,6e-07,4e-07,1e-06,1e-06,6e-06,5.6e-06,
12,4e-07,4e-07,8e-07,1.2e-06,7e-06,5.4e-06,
13,1e-06,4e-07,8e-07,1.2e-06,6.4e-06,6e-06,
14,2e-07,4e-07,8e-07,1.2e-06,8.2e-06,1.02e-05,
15,4e-07,4e-07,1.4e-06,1.2e-06,8.4e-06,8.8e-06,
16,1.2e-06,4e-07,1.2e-06,1.2e-06,8.6e-06,9e-06,
17,1.2e-06,4e-07,1.4e-06,1.4e-06,9.4e-06,8e-06,
18,1.4e-06,4e-07,1.6e-06,1.2e-06,1e-05,1e-05,
19,1.4e-06,8e-07,2.2e-06,1.8e-06,1.8e-05,1.14e-05,
21,2e-06,1e-06,2e-06,1.8e-06,1.2e-05,1.66e-05,
22,2.2e-06,6e-07,2.2e-06,1.8e-06,1.14e-05,1.14e-05,
24,1.8e-06,1e-06,2.4e-06,2.2e-06,1.34e-05,1.32e-05,
26,2.4e-06,1e-06,3.2e-06,1.6e-06,1.36e-05,1.34e-05,
28,2.4e-06,8e-07,3.2e-06,2.4e-06,1.7e-05,1.66e-05,
30,3e-06,8e-07,3.4e-06,2e-06,1.7e-05,1.8e-05,
32,3.4e-06,1e-06,3.4e-06,2.4e-06,1.94e-05,1.76e-05,
34,4.4e-06,1e-06,4.2e-06,2.6e-06,1.96e-05,1.82e-05,
37,4.8e-06,1.2e-06,5.2e-06,2.8e-06,2.14e-05,1.9e-05,
39,5.2e-06,1.4e-06,6.4e-06,2.8e-06,2.04e-05,2.22e-05,
42,5.2e-06,1.2e-06,5.6e-06,3.2e-06,2.32e-05,2.26e-05,
45,6.6e-06,1.8e-06,8.2e-06,3.4e-06,2.52e-05,2.42e-05,
48,7e-06,1.6e-06,9.2e-06,6.4e-06,2.92e-05,2.64e-05,
52,9e-06,2.2e-06,1.06e-05,4e-06,3e-05,2.86e-05,
56,9.8e-06,2.4e-06,1.24e-05,4e-06,3.26e-05,2.94e-05,
60,9.6e-06,1.6e-06,1.26e-05,4.6e-06,3.36e-05,4.64e-05,
64,1.42e-05,3.2e-06,1.58e-05,5.4e-06,5.14e-05,3.72e-05,
69,1.6e-05,3.6e-06,1.9e-05,5.2e-06,4.04e-05,3.82e-05,
74,1.64e-05,3.2e-06,2.16e-05,5.6e-06,4.76e-05,4.3e-05,
79,2.94e-05,5e-06,3.84e-05,5.6e-06,4.48e-05,4.32e-05,
85,2.18e-05,4.2e-06,2.82e-05,6.2e-06,5.08e-05,4.58e-05,
91,2.52e-05,5.4e-06,3.12e-05,7e-06,5.14e-05,5.06e-05,
97,2.9e-05,6.2e-06,3.52e-05,7e-06,5.98e-05,5.18e-05,
104,3.54e-05,7.6e-06,4.04e-05,7.6e-06,5.68e-05,5.56e-05,
112,3.94e-05,8.2e-06,4.76e-05,8.2e-06,6.2e-05,6.34e-05,
120,4.36e-05,9e-06,5.38e-05,9e-06,7.1e-05,6.6e-05,
128,4.98e-05,1.04e-05,6.42e-05,9.6e-06,7.58e-05,7.42e-05,
138,6.24e-05,1.3e-05,7.24e-05,1.06e-05,8.02e-05,7.92e-05,
147,6.96e-05,1.38e-05,8.12e-05,1.16e-05,8.12e-05,8.52e-05,
158,7.74e-05,1.5e-05,9.6e-05,1.26e-05,9.48e-05,8.42e-05,
169,9.02e-05,1.8e-05,0.0001086,1.48e-05,9.78e-05,9.58e-05,
181,9.88e-05,1.96e-05,0.0001228,1.5e-05,0.0001048,0.0001038,
194,0.0001206,2.24e-05,0.0001406,1.48e-05,0.0001122,0.0001074,
208,0.000126,2.42e-05,0.0001606,1.62e-05,0.0001156,0.0001386,
223,0.0001946,2.74e-05,0.000182,1.84e-05,0.000127,0.0001244,
